Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2026-01-28 10:45:12,FALSE,Fullerton Running,4.51,509,00:33:30,144,184,3.0,164,179,7:26,5:13,49,46,1.31,7.7,9.9,260,7:28,439,0.0,418,592,"5,466",-12,No,00:02:19.6,11,--,--,00:33:26,00:35:14,205,230
Running,2026-01-27 10:52:28,FALSE,Fullerton Running,5.01,607,00:45:26,135,169,2.6,156,165,9:04,7:13,79,52,1.12,8.6,9.7,287,9:07,341,0.0,340,420,"7,110",-13,No,00:00:03.5,6,--,--,00:45:15,00:48:44,176,245
Running,2026-01-25 08:30:52,FALSE,Orange County Running,12.02,"1,529",01:56:21,140,175,3.3,154,173,9:41,7:33,"1,030","1,043",1.06,8.9,9.4,295,9:22,348,0.0,337,514,"18,134",-25,No,00:00:09.1,13,--,--,01:56:17,01:58:36,108,673
Running,2026-01-24 09:45:13,FALSE,Fullerton Running,3.01,344,00:26:45,126,158,2.1,159,214,8:54,7:50,30,49,1.14,8.5,9.6,282,8:57,348,0.0,348,409,"4,252",-7,No,00:00:03.0,4,--,--,00:26:40,00:28:31,201,247
Running,2026-01-23 08:22:30,FALSE,Fullerton Running,7.51,902,00:57:23,153,188,3.6,163,172,7:39,6:22,72,95,1.29,7.8,10.0,263,7:40,415,0.0,406,504,"9,326",-13,No,00:00:01.4,9,--,--,00:57:18,01:09:08,193,249
Running,2026-01-22 09:37:35,FALSE,Fullerton Running,4.01,473,00:35:22,126,143,2.3,159,165,8:50,8:11,33,49,1.14,8.5,9.7,282,8:52,351,0.0,350,393,"5,640",-10,No,00:00:03.2,5,--,--,00:35:17,00:35:41,194,228
Running,2026-01-21 10:30:02,FALSE,Fullerton Running,7.01,890,00:56:48,162,199,3.9,156,210,8:06,5:36,95,85,1.31,7.5,9.2,253,8:07,423,0.0,376,603,"8,894",-20,No,00:00:01.5,15,--,--,00:56:39,01:02:04,201,236
Running,2026-01-20 18:10:11,FALSE,Fullerton Running,3.00,391,00:30:32,141,151,2.1,154,167,10:10,7:55,26,36,1.01,9.1,9.2,298,10:13,304,0.0,303,427,"4,714",-5,No,00:00:02.1,4,--,--,00:30:26,00:32:12,201,229
Treadmill Running,2026-01-20 17:46:07,FALSE,Treadmill Running,2.03,231,00:20:37,128,136,1.3,154,161,10:10,9:08,--,--,1.05,8.9,9.2,293,--,309,0.0,299,339,"3,170",-3,No,00:00:15.8,3,--,--,00:20:24,00:20:37,--,--
Running,2026-01-17 09:14:53,FALSE,Orange County Running,15.01,"1,837",02:08:20,145,195,4.0,161,180,8:33,6:01,909,886,1.16,8.3,9.5,276,8:26,395,0.0,374,574,"20,688",-28,No,00:00:02.8,16,--,--,02:08:12,02:24:57,121,658
Running,2026-01-16 12:21:02,FALSE,Fullerton Running,10.75,"1,314",01:32:40,157,171,3.4,156,191,8:37,5:34,210,171,1.10,8.7,9.6,288,9:16,338,0.0,337,584,"14,542",-24,No,00:00:02.8,11,--,--,01:32:14,01:45:48,226,399
Running,2026-01-14 18:47:01,FALSE,Fullerton Running,8.01,991,01:02:00,159,184,4.0,162,174,7:44,5:54,82,105,1.28,7.9,10.0,265,7:46,413,0.0,400,526,"10,038",-10,No,00:00:01.5,11,--,--,01:01:49,01:03:20,196,255
Running,2026-01-13 20:42:28,FALSE,Fullerton Running,7.00,848,01:09:13,131,144,2.4,155,163,9:53,8:20,89,72,1.04,9.0,9.3,294,9:55,315,0.0,314,395,"10,830",-5,No,00:00:02.5,8,--,--,01:09:02,01:10:18,225,272
Running,2026-01-12 13:32:42,FALSE,Fullerton Running,5.01,656,00:45:41,152,165,2.7,158,166,9:07,8:13,69,52,1.11,8.6,9.6,287,9:07,344,0.0,344,411,"7,220",-12,No,00:00:04.4,6,--,--,00:45:39,00:45:41,226,275
Running,2026-01-11 06:46:13,FALSE,Fullerton Running,21.01,"2,445",02:36:50,141,165,4.9,166,179,7:28,6:13,253,262,1.29,7.7,9.8,257,7:29,424,0.0,416,523,"26,042",-20,No,00:00:02.8,22,--,--,02:36:40,02:43:44,201,246
Running,2026-01-10 11:40:06,FALSE,Fullerton Running,6.01,732,00:55:27,136,157,2.5,156,166,9:14,7:50,131,98,1.11,8.7,9.6,288,9:14,341,0.0,339,451,"8,734",-12,No,00:00:03.1,7,--,--,00:55:14,00:56:33,226,320
Treadmill Running,2026-01-09 19:00:32,FALSE,Treadmill Running,5.50,666,01:03:09,132,143,2.3,146,248,11:29,9:49,--,--,1.00,9.0,8.8,297,--,290,0.0,268,330,"9,238",-8,No,00:09:45.6,6,--,--,01:01:17,01:03:09,--,--
Running,2026-01-09 11:20:00,FALSE,Fullerton Running,10.03,"1,090",01:15:00,138,184,3.3,164,176,7:29,6:12,128,112,1.30,7.7,9.9,259,7:29,428,0.0,417,513,"12,332",-18,No,00:00:02.7,15,--,--,01:14:49,01:15:33,224,268
Running,2026-01-07 16:44:22,FALSE,Fullerton Running,10.01,"1,252",01:33:20,144,154,3.1,158,242,9:20,7:05,167,210,1.09,8.7,9.5,288,9:22,342,0.0,340,535,"14,744",-16,No,00:00:03.9,11,--,--,01:33:08,01:34:56,181,285
Running,2026-01-06 13:11:47,FALSE,Huntington Beach Running,10.58,"1,287",01:21:31,160,190,4.1,164,177,7:42,6:05,95,95,1.26,7.8,9.7,262,7:44,421,0.0,402,592,"13,390",-19,No,00:00:02.5,17,--,--,01:21:16,01:26:24,-8,30
Running,2026-01-05 17:12:53,FALSE,Fullerton Running,7.00,899,01:06:02,148,161,2.8,158,163,9:26,8:07,69,95,1.08,8.8,9.5,289,9:28,330,0.0,330,413,"10,436",-13,No,00:00:03.7,8,--,--,01:05:56,01:06:52,198,251
