,Date,Week,Weekday,Month,Distance,Avg Pace,Time,Avg HR,Max HR,Best Pace,Zones,Total Ascent,Total Descent,Steps,Calories,Distance Ranges,MonthPeriod
0,2026-01-28 10:45:12,34,Wednesday,January,4.51,7.43,33.5,144.0,184.0,5.22,Zone 2,49.0,46.0,5466.0,509.0,0-5,2026-01
1,2026-01-27 10:52:28,34,Tuesday,January,5.01,9.07,45.43,135.0,169.0,7.22,Zone 2,79.0,52.0,7110.0,607.0,5-10,2026-01
2,2026-01-25 08:30:52,33,Sunday,January,12.02,9.68,116.35,140.0,175.0,7.55,Zone 2,1030.0,1043.0,18134.0,1529.0,10-15,2026-01
3,2026-01-24 09:45:13,33,Saturday,January,3.01,8.9,26.75,126.0,158.0,7.83,Zone 2,30.0,49.0,4252.0,344.0,0-5,2026-01
4,2026-01-23 08:22:30,33,Friday,January,7.51,7.65,57.38,153.0,188.0,6.37,Zone 3,72.0,95.0,9326.0,902.0,5-10,2026-01
5,2026-01-22 09:37:35,33,Thursday,January,4.01,8.83,35.37,126.0,143.0,8.18,Zone 2,33.0,49.0,5640.0,473.0,0-5,2026-01
6,2026-01-21 10:30:02,33,Wednesday,January,7.01,8.1,56.8,162.0,199.0,5.6,Zone 4,95.0,85.0,8894.0,890.0,5-10,2026-01
7,2026-01-20 18:10:11,33,Tuesday,January,3.0,10.17,30.53,141.0,151.0,7.92,Zone 2,26.0,36.0,4714.0,391.0,0-5,2026-01
8,2026-01-20 17:46:07,33,Tuesday,January,2.03,10.17,20.62,128.0,136.0,9.13,Zone 2,0.0,0.0,3170.0,231.0,0-5,2026-01
9,2026-01-17 09:14:53,32,Saturday,January,15.01,8.55,128.33,145.0,195.0,6.02,Zone 3,909.0,886.0,20688.0,1837.0,15-20,2026-01
10,2026-01-16 12:21:02,32,Friday,January,10.75,8.62,92.67,157.0,171.0,5.57,Zone 3,210.0,171.0,14542.0,1314.0,10-15,2026-01
11,2026-01-14 18:47:01,32,Wednesday,January,8.01,7.73,62.0,159.0,184.0,5.9,Zone 3,82.0,105.0,10038.0,991.0,5-10,2026-01
12,2026-01-13 20:42:28,32,Tuesday,January,7.0,9.88,69.22,131.0,144.0,8.33,Zone 2,89.0,72.0,10830.0,848.0,5-10,2026-01
13,2026-01-12 13:32:42,32,Monday,January,5.01,9.12,45.68,152.0,165.0,8.22,Zone 3,69.0,52.0,7220.0,656.0,5-10,2026-01
14,2026-01-11 06:46:13,31,Sunday,January,21.01,7.47,156.83,141.0,165.0,6.22,Zone 2,253.0,262.0,26042.0,2445.0,20-25,2026-01
15,2026-01-10 11:40:06,31,Saturday,January,6.01,9.23,55.45,136.0,157.0,7.83,Zone 2,131.0,98.0,8734.0,732.0,5-10,2026-01
16,2026-01-09 19:00:32,31,Friday,January,5.5,11.48,63.15,132.0,143.0,9.82,Zone 2,0.0,0.0,9238.0,666.0,5-10,2026-01
17,2026-01-09 11:20:00,31,Friday,January,10.03,7.48,75.0,138.0,184.0,6.2,Zone 2,128.0,112.0,12332.0,1090.0,10-15,2026-01
18,2026-01-07 16:44:22,31,Wednesday,January,10.01,9.33,93.33,144.0,154.0,7.08,Zone 2,167.0,210.0,14744.0,1252.0,10-15,2026-01
19,2026-01-06 13:11:47,31,Tuesday,January,10.58,7.7,81.52,160.0,190.0,6.08,Zone 4,95.0,95.0,13390.0,1287.0,10-15,2026-01
20,2026-01-05 17:12:53,31,Monday,January,7.0,9.43,66.03,148.0,161.0,8.12,Zone 3,69.0,95.0,10436.0,899.0,5-10,2026-01
21,2026-01-04 07:47:09,30,Sunday,January,20.01,7.43,148.83,155.0,183.0,6.0,Zone 3,486.0,541.0,24754.0,2371.0,20-25,2026-01
22,2026-01-03 19:55:43,30,Saturday,January,2.0,10.35,20.68,137.0,145.0,9.48,Zone 2,0.0,0.0,3192.0,273.0,0-5,2026-01
23,2026-01-03 18:53:37,30,Saturday,January,2.0,10.57,21.13,132.0,143.0,9.13,Zone 2,0.0,0.0,3212.0,261.0,0-5,2026-01
24,2026-01-03 12:33:04,30,Saturday,January,5.01,8.53,42.77,150.0,164.0,5.57,Zone 3,72.0,46.0,6844.0,645.0,5-10,2026-01
25,2026-01-02 10:27:14,30,Friday,January,10.01,8.82,88.23,145.0,169.0,6.08,Zone 3,502.0,489.0,14166.0,1278.0,10-15,2026-01
26,2025-12-31 13:20:12,30,Wednesday,December,6.0,10.47,62.82,120.0,157.0,9.52,Zone 2,0.0,0.0,9498.0,562.0,5-10,2025-12
27,2025-12-30 06:47:19,30,Tuesday,December,12.01,7.37,88.45,153.0,181.0,5.27,Zone 3,0.0,26.0,14680.0,1408.0,10-15,2025-12
28,2025-12-29 10:09:44,30,Monday,December,7.01,9.1,63.78,149.0,172.0,6.48,Zone 3,128.0,128.0,10176.0,909.0,5-10,2025-12
29,2025-12-28 06:35:13,29,Sunday,December,19.01,7.88,150.03,153.0,183.0,5.73,Zone 3,282.0,312.0,24710.0,2304.0,15-20,2025-12
30,2025-12-27 11:45:48,29,Saturday,December,5.01,8.78,44.03,124.0,137.0,7.37,Zone 2,105.0,118.0,7084.0,562.0,5-10,2025-12
31,2025-12-26 18:43:06,29,Friday,December,11.0,9.05,99.63,146.0,171.0,6.82,Zone 3,128.0,180.0,15984.0,1437.0,10-15,2025-12
32,2025-12-25 07:09:23,29,Thursday,December,7.0,9.05,63.38,148.0,171.0,6.9,Zone 3,105.0,151.0,10190.0,915.0,5-10,2025-12
33,2025-12-24 09:22:44,29,Wednesday,December,9.0,9.22,83.0,0.0,0.0,0.0,Zone 1,0.0,0.0,0.0,1186.0,5-10,2025-12
34,2025-12-23 18:36:27,29,Tuesday,December,2.05,13.3,27.27,122.0,130.0,9.75,Zone 2,0.0,0.0,4160.0,278.0,0-5,2025-12
35,2025-12-23 07:50:31,29,Tuesday,December,10.95,7.83,85.83,150.0,173.0,5.23,Zone 3,0.0,0.0,14234.0,1284.0,10-15,2025-12
36,2025-12-20 15:05:19,28,Saturday,December,3.0,12.17,36.48,128.0,139.0,10.45,Zone 2,0.0,0.0,5524.0,386.0,0-5,2025-12
37,2025-12-20 14:11:37,28,Saturday,December,1.0,13.53,13.52,118.0,128.0,6.87,Zone 1,0.0,0.0,2022.0,132.0,0-5,2025-12
38,2025-12-19 07:18:07,28,Friday,December,18.01,7.87,141.65,143.0,176.0,6.08,Zone 2,545.0,574.0,23548.0,2076.0,15-20,2025-12
39,2025-12-18 20:26:23,28,Thursday,December,8.01,9.3,74.47,133.0,145.0,7.2,Zone 2,92.0,108.0,11826.0,966.0,5-10,2025-12
40,2025-12-17 19:35:20,28,Wednesday,December,8.01,9.05,72.45,148.0,164.0,5.92,Zone 3,92.0,92.0,11542.0,1007.0,5-10,2025-12
41,2025-12-16 11:49:34,28,Tuesday,December,10.02,7.35,73.62,157.0,177.0,5.88,Zone 3,148.0,115.0,12226.0,1188.0,10-15,2025-12
42,2025-12-15 09:57:17,28,Monday,December,7.01,8.52,59.65,145.0,158.0,6.82,Zone 3,95.0,89.0,9598.0,864.0,5-10,2025-12
